street,house,zip_code,latitude,longitude
Переулок 1-й Машиностроителей,1,420056,55.840649,49.233292
Переулок 1-й Машиностроителей,2,420056,55.840578,49.233876
Переулок 1-й Машиностроителей,4,420056,55.841144,49.23358
Переулок 1-й Машиностроителей,5,420056,55.841008,49.233166
Переулок 1-й Машиностроителей,6,420056,55.841478,49.233427
Переулок 1-й Машиностроителей,7,420056,55.841185,49.233041
Переулок 1-й Машиностроителей,8,420056,55.841614,49.233346
Переулок 1-й Машиностроителей,8а,420056,55.841614,49.233346
Переулок 1-й Машиностроителей,8б,420056,55.841614,49.233346
Переулок 1-й Машиностроителей,9,420056,55.841493,49.232879
Переулок 1-й Машиностроителей,10,420056,55.841801,49.233292
Переулок 1-й Машиностроителей,11,420056,55.841756,49.232681
Переулок 1-й Машиностроителей,15,420056,55.842408,49.232277
1-я Аральская улица,1,420055,55.703591,49.150288
1-я Аральская улица,2,420055,55.703718,49.150054
1-я Аральская улица,3,420055,55.703591,49.150288
1-я Аральская улица,4,420055,55.703576,49.14974
1-я Аральская улица,5,420055,55.703434,49.150063
1-я Аральская улица,6 к. 1,420055,55.703454,49.149533
1-я Аральская улица,6 к. 2,420055,55.703454,49.149533
1-я Аральская улица,7,420055,55.703307,49.149857
1-я Аральская улица,8,420055,55.703307,49.149273
1-я Аральская улица,9,420055,55.703134,49.149641
1-я Аральская улица,10,420055,55.703175,49.149147
1-я Владимирская улица,5,420088,55.809049,49.207969
1-я Владимирская улица,8,420088,55.809757,49.208238
1-я Владимирская улица,10,420088,55.81,49.208211
1-я Владимирская улица,11,420088,55.809504,49.207807
1-я Владимирская улица,12,420088,55.809924,49.207951
1-я Владимирская улица,13,420088,55.809717,49.207501
1-я Владимирская улица,17,420088,55.809924,49.207232
1-я Владимирская улица,17А,420088,55.809924,49.207232
1-я Владимирская улица,18,420088,55.810364,49.207501
1-я Владимирская улица,20,420088,55.810567,49.207331
1-я Владимирская улица,21,420088,55.810344,49.206792
1-я Владимирская улица,22б,420088,55.811002,49.206855
1-я Владимирская улица,22в,420088,55.811002,49.206855
1-я Владимирская улица,23,420088,55.810587,49.206468
1-я Владимирская улица,24,420088,55.811179,49.206522
1-я Владимирская улица,25,420088,55.810673,49.206343
1-я Владимирская улица,26,420088,55.811179,49.206522
1-я Владимирская улица,28,420088,55.811361,49.206271
1-я Владимирская улица,29,420088,55.810673,49.206343
1-я Владимирская улица,30 стр. 1,420088,55.811361,49.206271
1-я Владимирская улица,30 стр. 2,420088,55.811361,49.206271
1-я Владимирская улица,32,420088,55.811594,49.205983
1-я Владимирская улица,34,420088,55.811725,49.205831
1-я Владимирская улица,35,420088,55.811407,49.205453
1-я Владимирская улица,42,420088,55.812934,49.206091
1-я Владимирская улица,42а,420088,55.813202,49.206154
1-я Владимирская улица,44,420088,55.81345,49.2061
1-я Владимирская улица,44а,420088,55.81345,49.2061
1-я Владимирская улица,46,420088,55.813617,49.20601
1-я Владимирская улица,48,420088,55.813845,49.205875
1-я Владимирская улица,49,420088,55.814254,49.20495
1-я Владимирская улица,50,420088,55.813946,49.205768
1-я Владимирская улица,51,420088,55.814436,49.204833
1-я Владимирская улица,52,420088,55.814158,49.205588
1-я Владимирская улица,53,420088,55.814533,49.204726
1-я Владимирская улица,54,420088,55.814361,49.205408
1-я Владимирская улица,55,420088,55.814705,49.204375
1-я Владимирская улица,56,420088,55.814512,49.205283
1-я Владимирская улица,57,420088,55.815033,49.204357
1-я Владимирская улица,58,420088,55.814639,49.205256
1-я Владимирская улица,58а,420088,55.814639,49.205256
1-я Владимирская улица,59,420088,55.815028,49.204088
1-я Владимирская улица,60,420088,55.814806,49.205121
1-я Владимирская улица,61,420088,55.81519,49.204241
1-я Владимирская улица,65,420088,55.815524,49.20363
1-я Владимирская улица,66,420088,55.815357,49.204959
1-я Владимирская улица,67,420088,55.815524,49.20363
1-я Владимирская улица,68,420088,55.815392,49.204708
1-я Владимирская улица,69,420088,55.815524,49.20363
1-я Владимирская улица,70,420088,55.815529,49.204501
1-я Владимирская улица,71,420088,55.815711,49.203899
1-я Владимирская улица,71а,420088,55.815711,49.203899
1-я Владимирская улица,72,420088,55.815893,49.204267
1-я Владимирская улица,73,420088,55.815711,49.203899
1-я Владимирская улица,75,420088,55.815711,49.203899
1-я Владимирская улица,75б,420088,55.815711,49.203899
1-я Владимирская улица,76,420088,55.816429,49.203836
1-я Владимирская улица,77,420088,55.815711,49.203899
1-я Владимирская улица,78,420088,55.816429,49.203836
1-я Владимирская улица,79,420088,55.815898,49.203387
1-я Владимирская улица,80,420088,55.817183,49.203279
1-я Владимирская улица,81,420088,55.815898,49.203387
1-я Владимирская улица,82,420088,55.817183,49.203279
1-я Владимирская улица,83,420088,55.816146,49.203549
1-я Владимирская улица,85,420088,55.816323,49.203378
1-я Владимирская улица,86,420088,55.817583,49.203145
1-я Владимирская улица,87,420088,55.81646,49.203279
1-я Владимирская улица,88,420088,55.817805,49.202785
1-я Владимирская улица,89,420088,55.81653,49.203109
1-я Владимирская улица,90,420088,55.817916,49.203163
1-я Владимирская улица,91,420088,55.816702,49.203118
1-я Владимирская улица,93,420088,55.817041,49.202785
1-я Владимирская улица,94,420088,55.818184,49.202543
1-я Владимирская улица,95,420088,55.817299,49.202588
1-я Владимирская улица,97,420088,55.817416,49.20248
1-я Владимирская улица,99,420088,55.817583,49.202354
1-я Владимирская улица,100,420088,55.818847,49.202183
1-я Владимирская улица,101,420088,55.817805,49.202219
1-я Владимирская улица,102,420088,55.819024,49.202282
1-я Владимирская улица,104,420088,55.819176,49.201842
1-я Владимирская улица,105,420088,55.817972,49.202076
1-я Владимирская улица,107,420088,55.818245,49.201761
1-я Владимирская улица,107а,420088,55.818245,49.201761
1-я Владимирская улица,108б к. 1,420088,55.820875,49.2023
1-я Владимирская улица,108б к. 2,420088,55.820875,49.2023
1-я Владимирская улица,108б к. 3,420088,55.820875,49.2023
1-я Владимирская улица,108б к. 4,420088,55.820875,49.2023
1-я Владимирская улица,108в,420088,55.821548,49.201923
1-я Владимирская улица,109,420088,55.818437,49.201653
