street,zip_code
Переулок 1-й Машиностроителей,420056
1-я Аральская улица,420055
1-я Владимирская улица,420088
1-я Молдавская улица,420056
1-я Полевая улица,420098
1-я Угловая улица,420070
Улица 10 лет Октября,420005
Переулок 2-й Машиностроителей,420056
2-я Аральская улица,420055
Улица 2-я Героев Хасана,420101
2-я Колхозная улица,420098
2-я Молдавская улица,420056
2-я Осиновская улица,420076
2-я Отдаленная улица,420056
2-я Полевая улица,420140
2-я Центральная улица,420129
2-я Школьная улица,420099
Улица 25-го Октября,420032
3-я Давликеевская улица,420055
3-я Таежная улица,420056
Улица 40 лет Октября,420004
Улица 40 лет Победы,420070
Улица 65 лет Победы,420140
Улица 8 Марта,420029
9 Мая улица,420077
9-я Давликеевская улица,420055
Улица Абая Кунанбаева,420047
Улица Абдуллы Алиша (Салмачи),420129
Улица Абдуллы Бичурина,420124
Улица Абубекира Терегулова,420138
Авангардная улица,420054
Авангардный переулок,420054
Улица Авиастроителей,420098
Улица Авиахима,420073
Автосервисная улица,420051
Улица Агачлык,420129
Аграрная улица,420061
Агрызская улица,420053
Улица Адамюка,420015
Улица Адмирала Нахимова,420097
Улица Адмирала Ушакова,420054
Адмиралтейская улица,420030
Улица Азамат,420064
Улица Азатлык,420075
Улица Азина,420075
Азинская 1-я улица,420088
Азинская 2-я улица,420088
Азинская 3-я улица,420088
Улица Айвазовского,420012
Улица Айни Садретдинова,420054
Переулок Айнур,420096
Улица Айнур,420096
Улица Айрата Арсланова,420076
Улица Ак каен,420091
Улица Ак чэчэклэр,420129
Улица Академика Кирпичникова,420029
Улица Академика Павлова,420127
Улица Академика Сахарова,420100
Академическая улица,420097
Акварельная улица,420055
Улица Аккош,420076
Переулок Аксакова,420076
Улица Аксакова,420076
Улица Аксу,420076
Актайская улица,420054
Актанышская улица,420076
Актанышский переулок,420076
Улица Акташ,420129
Актюбинская улица,420076
Улица Акчарлак,420129
Переулок Акъяр,420096
Улица Акъяр,420096
Улица Алан,420076
Улица Алафузова,420032
Алданская улица,420056
Алебастровая улица,420005
